hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B03404,B03404,2023-08-13 12:12:43,2023-08-13 12:17:03,2023-08-13 12:17:24,2023-08-13 12:23:13,238,239,1.09,349,8.24,0.0,0.23,0.73,2.75,0.0,0.0,5.39,N,N, ,N,N
HV0003,B03404,B03404,2023-08-23 07:37:14,2023-08-23 07:38:57,2023-08-23 07:38:59,2023-08-23 07:51:06,141,161,1.81,727,15.42,0.0,0.42,1.37,2.75,0.0,0.0,12.02,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-21 14:52:51,2023-08-21 14:55:17,2023-08-21 14:55:29,2023-08-21 15:00:00,216,216,0.64,271,5.39,0.0,0.15,0.48,0.0,0.0,0.0,5.39,N,N, ,N,N
HV0003,B03404,B03404,2023-08-13 13:59:43,2023-08-13 14:09:32,2023-08-13 14:09:45,2023-08-13 14:26:03,144,113,1.62,978,15.37,0.0,0.42,1.36,2.75,0.0,0.0,12.68,N,N, ,N,N
HV0005,B03406,,2023-08-10 10:42:54,,2023-08-10 10:45:14,2023-08-10 11:19:24,186,50,3.064,2050,19.84,0.0,0.55,1.76,2.75,0.0,0.0,23.52,N,N,N,N,N
HV0003,B03404,B03404,2023-08-07 09:11:11,2023-08-07 09:16:02,2023-08-07 09:16:05,2023-08-07 09:36:22,140,256,6.34,1217,21.74,0.0,0.6,1.93,2.75,0.0,0.0,19.77,N,N, ,N,N
HV0003,B03404,B03404,2023-08-10 18:57:11,2023-08-10 19:01:00,2023-08-10 19:01:00,2023-08-10 19:08:21,37,217,1.01,441,8.89,0.0,0.24,0.79,0.0,0.0,3.0,6.12,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-18 13:50:06,2023-08-18 13:51:55,2023-08-18 13:53:56,2023-08-18 14:29:50,231,138,12.01,2154,63.19,0.0,1.81,5.83,2.75,2.5,0.0,38.19,N,N, ,N,N
HV0003,B03404,B03404,2023-08-18 17:12:16,2023-08-18 17:16:39,2023-08-18 17:18:39,2023-08-18 17:29:24,244,220,3.72,645,18.61,3.18,0.6,1.93,0.0,0.0,0.0,10.95,N,N, ,N,N
HV0005,B03406,,2023-08-25 10:49:09,,2023-08-25 10:57:40,2023-08-25 12:38:50,97,265,51.096,6070,125.12,0.0,3.44,11.11,0.0,0.0,0.0,135.55,N,N,N,N,N
HV0005,B03406,,2023-08-17 18:23:06,,2023-08-17 18:25:30,2023-08-17 18:33:07,234,170,0.892,457,7.54,0.0,0.21,0.67,2.75,0.0,0.0,5.52,N,N,N,N,N
HV0003,B03404,B03404,2023-08-09 23:04:00,2023-08-09 23:09:33,2023-08-09 23:10:47,2023-08-09 23:34:31,218,37,8.45,1424,26.79,0.0,0.74,2.38,0.0,0.0,0.0,24.48,N,N, ,N,N
HV0005,B03406,,2023-08-06 09:54:37,,2023-08-06 09:56:21,2023-08-06 10:03:41,169,18,2.051,440,10.62,0.0,0.29,0.94,0.0,0.0,0.0,6.88,N,N,N,N,N
HV0003,B03404,B03404,2023-08-19 15:10:01,2023-08-19 15:15:56,2023-08-19 15:17:31,2023-08-19 16:58:39,132,265,46.7,6068,149.54,26.94,4.92,0.0,0.0,2.5,0.0,129.71,N,N, ,N,N
HV0003,B03404,B03404,2023-08-23 04:54:59,2023-08-23 04:59:59,2023-08-23 04:59:59,2023-08-23 05:06:59,242,182,1.57,420,12.51,0.0,0.34,1.11,0.0,0.0,0.0,6.01,N,N, ,N,N
