Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2021-12-04,40.9,41.05,38.26,39.47,39.47,0,2021,12,4
2021-12-05,40.9,41.05,38.26,39.47,39.47,0,2021,12,5
2021-12-06,39.71,42.6,38.95,41.95,41.95,7735000,2021,12,6
2021-12-07,42.88,43.83,41.17,41.41,41.41,7956000,2021,12,7
2021-12-08,41.99,43.06,41.41,42.21,42.21,5472600,2021,12,8
2021-12-09,41.71,42.24,40.7,40.76,40.76,4556700,2021,12,9
2021-12-10,41.08,41.4,39.04,39.51,39.51,5170800,2021,12,10
2021-12-11,41.08,41.4,39.04,39.51,39.51,0,2021,12,11
2021-12-12,41.08,41.4,39.04,39.51,39.51,0,2021,12,12
2021-12-13,39.0,39.25,37.71,38.41,38.41,7789200,2021,12,13
2021-12-14,38.26,40.91,38.07,38.98,38.98,10123200,2021,12,14
2021-12-15,38.89,39.25,37.32,38.42,38.42,7238700,2021,12,15
2021-12-16,38.81,39.22,37.19,37.46,37.46,4403000,2021,12,16
2021-12-17,37.18,38.53,36.25,38.07,38.07,8219000,2021,12,17
2021-12-18,37.18,38.53,36.25,38.07,38.07,0,2021,12,18
2021-12-19,37.18,38.53,36.25,38.07,38.07,0,2021,12,19
2021-12-20,37.52,39.12,36.71,38.62,38.62,4875000,2021,12,20
2021-12-21,39.03,41.06,38.92,40.91,40.91,5947800,2021,12,21
2021-12-22,40.8,42.71,40.73,42.46,42.46,6219400,2021,12,22
2021-12-23,43.07,44.61,42.99,44.18,44.18,6242300,2021,12,23
2021-12-24,43.07,44.61,42.99,44.18,44.18,0,2021,12,24
2021-12-25,43.07,44.61,42.99,44.18,44.18,0,2021,12,25
2021-12-26,43.07,44.61,42.99,44.18,44.18,0,2021,12,26
2021-12-27,43.94,44.56,43.22,44.03,44.03,3966800,2021,12,27
2021-12-28,43.78,44.66,43.03,43.52,43.52,3401100,2021,12,28
2021-12-29,43.43,43.62,42.2,43.24,43.24,3147200,2021,12,29
2021-12-30,42.54,44.35,42.54,43.49,43.49,3436600,2021,12,30
2021-12-31,43.32,44.09,42.64,42.73,42.73,3235300,2021,12,31
2022-01-01,43.32,44.09,42.64,42.73,42.73,0,2022,1,1
2022-01-02,43.32,44.09,42.64,42.73,42.73,0,2022,1,2
2022-01-03,43.39,44.96,42.62,44.59,44.59,4975300,2022,1,3
2022-01-04,44.66,45.28,43.69,44.95,44.95,5650500,2022,1,4
2022-01-05,44.9,46.64,43.49,43.59,43.59,5505300,2022,1,5
2022-01-06,44.13,44.98,42.59,43.6,43.6,4787500,2022,1,6
2022-01-07,42.7,44.24,42.5,43.1,43.1,5570200,2022,1,7
2022-01-08,42.7,44.24,42.5,43.1,43.1,0,2022,1,8
2022-01-09,42.7,44.24,42.5,43.1,43.1,0,2022,1,9
2022-01-10,42.96,44.22,41.61,44.13,44.13,5061800,2022,1,10
2022-01-11,43.78,45.81,43.58,44.5,44.5,6345700,2022,1,11
2022-01-12,44.39,44.4,42.3,42.38,42.38,7169700,2022,1,12
2022-01-13,42.68,43.43,42.13,42.6,42.6,5607100,2022,1,13
2022-01-14,42.21,42.6,40.71,41.26,41.26,5620900,2022,1,14
2022-01-15,42.21,42.6,40.71,41.26,41.26,0,2022,1,15
2022-01-16,42.21,42.6,40.71,41.26,41.26,0,2022,1,16
2022-01-17,42.21,42.6,40.71,41.26,41.26,0,2022,1,17
2022-01-18,40.89,40.94,38.4,38.43,38.43,6903400,2022,1,18
2022-01-19,38.5,38.83,36.83,36.91,36.91,6943300,2022,1,19
2022-01-20,36.97,39.93,36.92,37.6,37.6,8194300,2022,1,20
2022-01-21,36.71,37.59,35.8,36.8,36.8,8478100,2022,1,21
2022-01-22,36.71,37.59,35.8,36.8,36.8,0,2022,1,22
2022-01-23,36.71,37.59,35.8,36.8,36.8,0,2022,1,23
2022-01-24,35.88,37.22,34.47,37.13,37.13,7779300,2022,1,24
2022-01-25,36.07,37.08,35.42,36.22,36.22,6959300,2022,1,25
2022-01-26,37.17,38.17,35.6,35.68,35.68,7512300,2022,1,26
2022-01-27,36.19,36.4,34.84,34.93,34.93,6314500,2022,1,27
2022-01-28,34.8,35.8,33.94,35.75,35.75,5044100,2022,1,28
2022-01-29,34.8,35.8,33.94,35.75,35.75,0,2022,1,29
2022-01-30,34.8,35.8,33.94,35.75,35.75,0,2022,1,30
2022-01-31,35.59,38.61,35.58,38.52,38.52,6836100,2022,1,31
2022-02-01,39.04,39.53,38.15,39.42,39.42,4596400,2022,2,1
2022-02-02,39.58,39.59,38.04,38.44,38.44,3970700,2022,2,2
2022-02-03,37.67,37.98,36.23,36.36,36.36,4777100,2022,2,3
2022-02-04,36.52,38.05,36.26,37.68,37.68,4289000,2022,2,4
2022-02-05,36.52,38.05,36.26,37.68,37.68,0,2022,2,5
2022-02-06,36.52,38.05,36.26,37.68,37.68,0,2022,2,6
2022-02-07,37.83,40.15,37.83,39.1,39.1,7371500,2022,2,7
2022-02-08,38.73,41.4,38.3,41.2,41.2,20228400,2022,2,8
2022-02-09,40.28,44.17,38.8,44.0,44.0,25765800,2022,2,9
2022-02-10,43.6,45.65,41.71,42.1,42.1,24087900,2022,2,10
2022-02-11,42.15,42.56,38.94,39.99,39.99,10544600,2022,2,11
2022-02-12,42.15,42.56,38.94,39.99,39.99,0,2022,2,12
2022-02-13,42.15,42.56,38.94,39.99,39.99,0,2022,2,13
2022-02-14,39.98,40.99,39.42,39.99,39.99,5718400,2022,2,14
